,Company,Date,Close/Last,Volume,Open,High,Low
0,Apple,2023-07-17,193.99,50520160,191.9,194.32,191.81
1,Apple,2023-07-14,190.69,41616240,190.23,191.1799,189.63
2,Apple,2023-07-13,190.54,41342340,190.5,191.19,189.78
3,Apple,2023-07-12,189.77,60750250,189.68,191.7,188.47
4,Apple,2023-07-11,188.08,46638120,189.16,189.3,186.6
5,Apple,2023-07-10,188.61,59922160,189.26,189.99,187.035
6,Apple,2023-07-07,190.68,46815000,191.41,192.67,190.24
7,Apple,2023-07-06,191.81,45156010,189.84,192.02,189.2
8,Apple,2023-07-05,191.33,46920260,191.565,192.98,190.62
9,Apple,2023-07-03,192.46,31346600,193.78,193.88,191.76
10,Apple,2023-06-30,193.97,85213220,191.63,194.48,191.26
11,Apple,2023-06-29,189.59,46347310,189.08,190.07,188.94
12,Apple,2023-06-28,189.25,51216800,187.93,189.9,187.6
13,Apple,2023-06-27,188.06,50730850,185.89,188.39,185.67
14,Apple,2023-06-26,185.27,48088660,186.83,188.05,185.23
15,Apple,2023-06-23,186.68,53117000,185.55,187.56,185.01
16,Apple,2023-06-22,187.0,51245330,183.74,187.045,183.67
17,Apple,2023-06-21,183.96,49515700,184.9,185.41,182.5901
18,Apple,2023-06-20,185.01,49799090,184.41,186.1,184.41
19,Apple,2023-06-16,184.92,101256200,186.73,186.99,184.27
20,Apple,2023-06-15,186.01,65433170,183.96,186.52,183.78
21,Apple,2023-06-14,183.95,57462880,183.37,184.39,182.02
22,Apple,2023-06-13,183.31,54929130,182.8,184.15,182.44
23,Apple,2023-06-12,183.79,54755000,181.27,183.89,180.97
24,Apple,2023-06-09,180.96,48899970,181.5,182.23,180.63
25,Apple,2023-06-08,180.57,50214880,177.895,180.84,177.46
26,Apple,2023-06-07,177.82,61944620,178.44,181.21,177.32
27,Apple,2023-06-06,179.21,64848370,179.965,180.12,177.43
28,Apple,2023-06-05,179.58,121946500,182.63,184.951,178.035
29,Apple,2023-06-02,180.95,61996910,181.03,181.78,179.26
30,Apple,2023-06-01,180.09,68901810,177.7,180.12,176.9306
31,Apple,2023-05-31,177.25,99625290,177.325,179.35,176.76
32,Apple,2023-05-30,177.3,55964400,176.96,178.99,176.57
33,Apple,2023-05-26,175.43,54834980,173.32,175.77,173.11
34,Apple,2023-05-25,172.99,56058260,172.41,173.895,171.69
35,Apple,2023-05-24,171.84,45143490,171.09,172.4183,170.52
36,Apple,2023-05-23,171.56,50747260,173.13,173.3794,171.275
37,Apple,2023-05-22,174.2,43570930,173.98,174.71,173.45
38,Apple,2023-05-19,175.16,55809480,176.39,176.39,174.94
39,Apple,2023-05-18,175.05,65496660,173.0,175.24,172.58
40,Apple,2023-05-17,172.69,57951600,171.71,172.925,170.4201
41,Apple,2023-05-16,172.07,42110290,171.99,173.1383,171.7991
42,Apple,2023-05-15,172.07,37266660,173.16,173.21,171.47
43,Apple,2023-05-12,172.57,45533140,173.62,174.06,171.0
44,Apple,2023-05-11,173.75,49514680,173.85,174.59,172.17
45,Apple,2023-05-10,173.555,53724500,173.02,174.03,171.9
46,Apple,2023-05-09,171.77,45326870,173.05,173.54,171.6
47,Apple,2023-05-08,173.5,55962790,172.48,173.85,172.11
48,Apple,2023-05-05,173.57,113453200,170.975,174.3,170.76
49,Apple,2023-05-04,165.79,81235430,164.89,167.04,164.31
50,Apple,2023-05-03,167.45,65136020,169.5,170.92,167.16
51,Apple,2023-05-02,168.54,48425700,170.09,170.35,167.54
52,Apple,2023-05-01,169.59,52472940,169.28,170.45,168.64
53,Apple,2023-04-28,169.68,55275850,168.49,169.85,167.8801
54,Apple,2023-04-27,168.41,64902330,165.19,168.56,165.19
55,Apple,2023-04-26,163.76,45498800,163.055,165.28,162.8
56,Apple,2023-04-25,163.77,48714060,165.19,166.305,163.73
57,Apple,2023-04-24,165.33,41949580,165.0,165.6,163.89
58,Apple,2023-04-21,165.02,58337340,165.05,166.4521,164.49
59,Apple,2023-04-20,166.65,52456380,166.09,167.87,165.56
